word,word_pinyin,word_eng,sentence,sentence_pinyin,sentence_eng,sound,sentence_sound
记住,jìzhù,to remember; to memorize,请记住这些生词。,Qǐng jìzhù zhè xiē shēngcí.,Please memorize these new words.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-remember-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-remember-phrase.mp3
自己,zìjǐ,self,让孩子自己做。,Ràng háizi zìjǐ zuò.,Let the children do it themselves.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/self-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/self-phrase.mp3
带,dài,to bring,请别带照相机。,Qǐng bié dài zhàoxiàngjī.,Please don't bring a camera.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-bring-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-bring-phrase.mp3
裤子,kùzi,pants,这条裤子很贵。,Zhè tiáo kùzi hěnguì.,This pair of pants is quite expensive.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/pants-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/pants-phrase.mp3
短,duǎn,short,这条裙子太短。,Zhè tiáo qúnzi tài duǎn.,This skirt is too short.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/short-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/short-phrase.mp3
职业,zhíyè,profession,他的职业是教师。,Tā de zhíyè shì jiàoshī.,Teaching is his profession.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/profession-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/profession-phrase.mp3
以前,yǐqián,"before, ago",十年以前我去了法国。,Shínián yǐqián wǒ qùle fǎguó.,I went to France ten years ago.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/before-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/before-phrase.mp3
马路,mǎlù,street,北京的马路很宽。,Běijīng de mǎlù hěn kuān.,Beijing's streets are wide.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/street-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/street-phrase.mp3
马路,mǎlù,street,北京的马路很宽。,Běijīng de mǎlù hěn kuān.,Beijing's streets are wide.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/street-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/street-phrase.mp3
爱,ài,to love,我爱我妈妈。,Wǒ ài wǒ māma.,I love my mom.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-love-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-love-phrase.mp3
瓶子,píngzi,bottle,我们有三个空瓶子。,Wǒmen yǒu sān gè kōng píngzi.,We have three empty bottles.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/bottle2-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/bottle2-phrase.mp3
别,bié,don't,请别吸烟。,Qǐng bié xīyān.,Please don't smoke.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/dont-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/dont-phrase.mp3
准备,zhǔnbèi,to prepare,妈妈要准备午饭。,Māma yào zhǔnbèi wǔfàn.,Mother has to prepare lunch.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-prepare-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-prepare-phrase.mp3
以后,yǐhòu,"later, after",午饭以后我去学校。,Wǔfàn yǐhòu wǒ qù xuéxiào.,I will go to school after lunch.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/later-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/later-phrase.mp3
小时,xiǎoshí,hour,三小时后她来。,Sān xiǎoshí hòu tā lái.,She will come three hours from now.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/hour-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/hour-phrase.mp3
长,cháng,long,密西西比河很长。,Mìxīxībǐhé hěn cháng.,The Mississippi River is very long.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/long-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/long-phrase.mp3
借,jiè,to borrow,我要借书。,Wǒ yào jiè shū.,I want to borrow some books.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-borrow-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-borrow-phrase.mp3
休息,xiūxi,to rest,我们休息五分钟。,Wǒmen xiūxi wǔ fēnzhōng.,Let's have a five-minute break.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-rest-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-rest-phrase.mp3
办公室,bàngōngshì,office,办公室在哪儿？,Bàngōngshì zài nǎr?,Where is the office?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/office-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/office-phrase.mp3
忘,wàng,to forget,我忘了他的地址。,Wǒ wàngle tā de dìzhǐ.,I forgot his address.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-forget-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-forget-phrase.mp3
地方,dìfang,place,她去了中国很多地方。,Tā qùle zhōngguó hěnduō dìfang.,She has been to many places in China.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/place-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/place-phrase.mp3
城市,chéngshì,city,纽约是大城市。,Niǔyuē shì dà chéngshì.,New York is a large city.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/city-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/city-phrase.mp3
信用卡,xìnyòngkǎ,credit card,现在大家都用信用卡。,Xiànzài dàjiā dōu yòng xìnyòngkǎ.,Everyone uses a credit card now.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/credit-card-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/credit-card-phrase.mp3
懂,dǒng,to understand,这个故事你懂吗？,Zhège gùshi nǐ dǒng ma?,Do you understand this story?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-understand2-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-understand2-phrase.mp3
